Title,Description,Ingredients,Directions,Link
Gochujang Mayonnaise,"This delicious gochujang mayonnaise is a simple recipe, great on just about anything. You can make it spicier by adding more gochujang sauce. I love to slather it on my burgers or use it as a dipping sauce for my fries. The possibilities are endless.","['1/4 cup mayonnaise', '2 tablespoons Gochujang sauce', '1/2 teaspoon lime juice', '1/4 teaspoon sea salt', '1/4 teaspoon black pepper', '1/4 teaspoon garlic powder']","['Stir mayonnaise, gochujang sauce, lime juice, salt, pepper, and garlic powder together in a small bowl until well combined.']",https://www.allrecipes.com/gochujang-mayonnaise-recipe-8675610
Frito Corn Salad,"""It's such a hit!""","['6 ears fresh\xa0corn\xa0with husks', '2 (9.25 ounce) bags scoop-style corn chips, divided (such as Frito Scoops)', '8 ounces shredded sharp Cheddar cheese', '2 small multicolored bell peppers, chopped', '1 medium red onion, finely chopped', '3/4 cup chopped fresh cilantro, plus more for garnish', '3/4 cup mayonnaise', '1/2 cup sour cream', '2 fresh jalapeno chile, seeded and finely chopped', '1 (1 ounce) envelope taco seasoning mix', '2 teaspoons grated lime zest plus 2 tablespoons fresh juice (from 1 lime)', '1 teaspoon kosher salt']","['There’s nothing better than a salad with a little crunch, which is why we love the irresistible texture Fritos corn chips bring to this potluck favorite. This recipe is quick to prepare, full of vibrant colors and flavors, and guaranteed to be your new go-to summer side.', '“Delightful sweet and savory corn salad with every bit of texture from crunchy to creamy—it’s such a hit!” said recipe tester Amanda Stanfield. ""Can’t wait to add leftovers to a chicken wrap!""', 'Gather all ingredients.', 'Place 3 ears of the corn on a microwave-safe plate and microwave on HIGH until just cooked through, about 4 minutes. Repeat with remaining 3 ears of corn. Set corn aside until cool enough to handle, about 5 minutes. Remove and discard husks from corn, cut kernels from cob (about 5 cups), transfer to a large bowl.', 'Lightly crush 1 of the bags of corn chips (about 4 cups). Transfer 3 cups of crushed corn chips to bowl with corn, reserving remaining 1 cup corn chips for garnish.', 'Add Cheddar cheese, bell peppers, onion, cilantro, mayonnaise, sour cream, jalapeno chiles, taco seasoning, lime zest and juice, and salt to bowl with corn, and stir until evenly combined.', 'Garnish with remaining 1 cup corn chips and cilantro. Serve with remaining bag of corn chips.']",https://www.allrecipes.com/frito-corn-salad-recipe-8666912
Cowboy Colada,"""It's totally perfect for summer cocktails on those super hot days.""","['fresh pineapple wedges', 'chili-lime seasoning (such as Tajín)', '2 1/2 cups frozen pineapple chunks', '1/2 cup ice\xa0cubes', '6 tablespoons pure pineapple juice', '4 tablespoons mezcal (preferably Monte Alban)', '1/2 cup canned cream of coconut (such as Coco Lopez)', '1/4 teaspoon seeded and finely chopped fresh habanero chile', 'maraschino cherry for garnish']","['This might look like your average tropical cocktail, but the hints of smoke and spice take it to the wild side. Our Test Kitchen called this blended drink well-balanced and perfect for summer cocktails, especially on those super hot days.\xa0Pair it with this cowboy caviar recipe, and your pool day is complete.', '“This is such a fun spin on a colada-style cocktail,” said recipe cross-tester Amanda Stanfield. “The mezcal adds a nice bit of smokey savoriness that really helps cut through the sweetness of the Coco Lopez and pineapple!”', 'Gather all ingredients.', 'Rub half the rim of 2 chilled rocks glasses with a pineapple wedge. Dip the rim of each glass into a plate filled with chili-lime seasoning and set aside.', 'In order as listed, place frozen pineapple chunks, ice cubes, pineapple juice, mezcal, cream of coconut, and habanero in a blender and process until smooth, about 25 seconds.', 'Pour evenly into prepared glasses and garnish with a pineapple wedge and maraschino cherry.']",https://www.allrecipes.com/cowboy-colada-recipe-8666608
Chocolate-Glazed Hazelnut Mousse Cake,"This wonderfully rich, silky dessert is an ideal choice when you're entertaining a group of friends. Featuring a hazelnut shortbread crust that provides a crisp based for the moist, airy mousse, it is simple to prepare, can be made ahead of time, and does not require any last-minute fussing. Nutella -- beloved by Europeans (and by more Americans than admit to it) -- acts as a stealth ingredient that both echoes and enhances the marriage of the crust and the mousse. So whether you find yourself with or without a Valentine this year, it will be love at first bite. -- Lawrence Karol","['2 tablespoons hazelnuts, toasted and skins rubbed off', '3 tablespoons sugar', '½ cup all-purpose flour', '¼ cup unsalted butter, softened', '2 tablespoons unsweetened Dutch-process cocoa powder', '⅛ teaspoon salt', '1 teaspoon unflavored gelatin', '3 tablespoons cold water', '½ cup chocolate hazelnut spread such as Nutella', '½ cup mascarpone', '1 ½ cups chilled heavy cream', '2 tablespoons unsweetened Dutch-process cocoa powder', '3 tablespoons sugar', '5 tablespoons heavy cream', '3 ½ ounces fine-quality bittersweet chocolate (not unsweetened), chopped']","['For shortbread base: Put oven rack in middle position and preheat oven to 350 degrees F. Invert bottom of springform pan (to make it easier to slide shortbread base off bottom), then lock on side of pan and line bottom with a round of parchment paper.', 'Pulse hazelnuts with sugar in a food processor until nuts are finely chopped. Add flour, butter, cocoa, and salt and pulse just until a dough forms.', 'Press dough evenly onto bottom of springform pan with your fingers. Prick all over with a fork, then bake until just dry to the touch, about 18 to 20 minutes. Transfer base in pan to a rack to cool completely, about 30 minutes. Remove side of pan and carefully slide out parchment from under shortbread, then reattach side of pan around shortbread base.', 'Make mousse while shortbread cools: Sprinkle gelatin over water in a 1- to 1 1/2-quart heavy saucepan and let stand until softened, about 5 minutes. Heat gelatin mixture over low heat, stirring, just until gelatin is melted, about 2 minutes. Whisk in chocolate hazelnut spread until combined and remove from heat.', 'Whisk together mascarpone and chocolate hazelnut mixture in a large bowl. Beat together cream, cocoa powder, and sugar in another large bowl with an electric mixer at low speed until just combined, then increase speed to high and beat until cream just holds soft peaks. Whisk one third of whipped cream into mascarpone mixture to lighten, then fold in remaining whipped cream until well combined. Spoon filling onto shortbread base in pan, gently smoothing top, then chill, covered, at least 3 hours.', 'Make ganache and glaze cake: Bring cream to a simmer in a small heavy saucepan and remove from heat. Add chocolate and let stand 1 minute, then gently whisk until completely melted and smooth. Transfer ganache to a small bowl and cool, stirring occasionally, until slightly thickened but still pourable, about 20 minutes.', 'Run a warm thin knife around inside of springform pan, then remove side. Slide cake off bottom of pan and transfer to a serving plate. Pour ganache onto top of cake and spread, allowing excess ganache to drip down sides.']",https://www.allrecipes.com/recipe/134726/chocolate-glazed-hazelnut-mousse-cake/
Grilled Spaghetti,"Grilled spaghetti is cooked directly in a very simple sauce, so that all the extra flavor from toasting dry pasta on a grill stays in the sauce. This is delicious on its own as a side dish, or as a base for other grilled things like eggplant or chicken.","['8 ounces thick dry spaghetti', '3 tablespoons olive oil', '3 clove garlic, thinly sliced', '2 rounded tablespoons tomato paste', '3 3/4 cups chicken broth, plus more as needed', '1 teaspoon salt, or to taste, depending on salt level of broth', '2 tablespoons unsalted butter', '1/4 cup basil leaves, torn into small pieces', '1/4 cup finely grated Parmigiano Reggiano\xa0or to taste', '1 pinch red chili flakes (optional)']","['Prepare an outdoor charcoal grill for medium-high heat.', 'Place dry spaghetti on the hot charcoal grill, and cook, tossing often with tongs until the pasta is toasted to a light brown, about 4 minutes. Remove and set aside.', 'Add olive oil to a pan, and set over medium heat. Add garlic and sauté until fragrant, 30 seconds to 1 minute. Add tomato paste and sauté for about 1 minute; pour in broth.', 'Raise heat to medium-high and bring broth to a simmer. Add salt and grilled spaghetti, and use tongs to move spaghetti back and forth until it softens enough to be covered by the broth.', 'Cook, stirring, until spaghetti is as tender as you like; it will take a few minutes longer than package directions indicate. If pan gets too dry, add another splash of broth.', 'Reduce heat to low; stir in butter and basil. Turn off heat and stir in cheese. Serve immediately.']",https://www.allrecipes.com/grilled-spaghetti-recipe-8675070
Bacon Stuffed French Toast Sliders,"These bacon stuffed French toast sliders make a terrific breakfast for a crowd - smoky, salty, sweet, and savory.","['1 pound bacon', '1 (12 count) package Hawaiian rolls', '1/4 cup softened butter, divided', '1/4 cup brown sugar', '1/8 teaspoon cayenne pepper, or more to taste', '2 large eggs', '1/3 cup half-and-half', '1 teaspoon vanilla extract', '1/4 teaspoon salt', '1 tablespoon maple syrup, plus more for serving', ""confectioner's sugar, for serving (optional)""]","['Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil, and lay bacon strips in a single layer on the sheet.', 'Bake in the preheated oven until browned and crisp, about 15 minutes. Drain bacon slices on paper towels.', 'Reduce the oven temperature to 325 degrees F (160 degrees C). Slice rolls in half lengthwise. Spread 2 tablespoons butter over the cut side of bottom half of rolls. Top evenly with brown sugar and cayenne pepper. Arrange bacon slices over brown sugar mixture.', 'Spread 1 tablespoon butter evenly into the bottom of a 9x13-inch casserole dish. Place the prepared sandwich half in the buttered pan.', 'Whisk eggs, half-and-half, vanilla, salt, and syrup together in a separate 9x13-inch baking dish.\xa0Add top half of rolls to egg mixture and turn a couple times to coat and lightly soak the bread. Allow the excess egg mixture to drip off and place top half of rolls over bacon layer. Cover with foil.\xa0Discard any excess egg mixture.', 'Bake in the preheated oven for 15 minutes. Uncover and bake until golden brown and lightly toasted, 5 to 10 minutes more.', ""Spread remaining butter over the tops. Cut into 12 servings. Dust with confectioner's sugar. Serve with syrup for dipping.""]",https://www.allrecipes.com/bacon-stuffed-french-toast-sliders-recipe-8674932
Easy Eggs Benedict Breakfast Sliders,"These easy eggs Benedict breakfast sliders make a crowd-pleasing breakfast. Hawaiian rolls are filled with ham and eggs, and baked while you make an easy Hollandaise sauce.","['1 (12 count) package Hawaiian rolls', '6 thin slices ham,\xa0cut in half', '12 small or medium eggs', '1 teaspoon kosher salt', '1 (0.9 ounce) packet Hollandaise sauce mix, such as Knorr®', '1 cup milk', '1/4 cup butter', '1/4 teaspoon freshly ground black pepper', '1 tablespoon finely chopped chives']","['Preheat the oven to 375 degrees F (190 degrees C). Place rolls into a 9x13-inch baking dish. Press a hole into the center of each roll and use fingers or a small spoon to press the bread in and around to create a large well.', 'Place a half slice of ham into the form of each roll. Crack an egg into each and sprinkle evenly with salt.', 'Bake in the preheated oven until the whites are set and the yolks are still runny, about 20 minutes, rotating the pan halfway through baking time.', 'Meanwhile, prepare Hollandaise with milk and butter according to package directions.', 'Carefully cut rolls into 12 servings and serve topped with 2 tablespoons Hollandaise sauce and a sprinkle of pepper and chives.']",https://www.allrecipes.com/easy-eggs-benedict-breakfast-sliders-recipe-8674912
Ultimate Cowboy Breakfast Sliders,"The ultimate cowboy breakfast sliders are made by baking a rectangular slab of sausage, a 9x13-inch pan of eggs, and then layering them with cheese inside a package of Hawaiian rolls. The smoky, zesty, savory flavor comes from Cowboy Butter, a compound butter recipe you'll want to make ahead of time. It's linked in the ingredients.","['1 pound ground breakfast sausage', '8 large eggs', '3 tablespoons heavy cream', '1/2 teaspoon kosher salt', '1/4 teaspoon pepper', '1 (12 count) package Hawaiian rolls', '4 tablespoons Cowboy Butter, divided', '3 green onions, thinly sliced', '8 slices pepper Jack cheese']","['Preheat the oven to 375 degrees F (190 degrees C). Line a 9x13-inch rimmed baking sheet with foil. Press sausage to the sides of the pan, or to a rectangular shape just larger than the shape of the Hawaiian rolls.', 'Bake sausage in the preheated oven for 10 minutes.', 'Meanwhile, coat a second 9x13-inch baking dish heavily with cooking spray. Crack eggs into the prepared pan. Use a knife to break the yolks of each egg and slightly spread the yolks. Drizzle cream over eggs; sprinkle with salt and pepper.', 'Bake eggs in the oven on another rack, leaving the sausage in the oven to continue baking, until eggs are set, 5 to 7 minutes. Remove eggs from oven and turn the oven’s broiler to High.', 'Broil sausage until browned on top, about 3 minutes.', 'Slice Hawaiian rolls in half lengthwise and spread 1 tablespoon Cowboy Butter on the bottom halves of the rolls. Drain sausage and place sausage patty on rolls. Carefully slide eggs from pan onto sausage and trim off any excess, if desired. Sprinkle evenly with green onions and top with cheese slices and top halves of rolls. Place rolls in the baking dish and spread tops evenly with remaining butter.', 'Bake until butter is melted and rolls are lightly browned and toasted, about 5 minutes. Cut into 12 servings and serve.']",https://www.allrecipes.com/ultimate-cowboy-breakfast-sliders-recipe-8674868
This Matcha Martini Will Be Your Go-to Drink of the Summer,"Cool off with this creamy, vodka cocktail.","['2 ounces matcha, brewed and cooled (we suggest 1 teaspoon matcha +1/4 cup hot water)', '1 ounce vodka', '1/2 ounce\xa0white\xa0creme de cacao', '1/2 ounce simple syrup', 'pinch of matcha powder, to garnish (optional)']","['Whether shaken or stirred; made with alcohol or a\xa0spirit-free swap; infused with\xa0pomegranate juice\xa0or flavored like a\xa0Girl Scout cookie, the 21st century martini is still ""in."" But she has far fewer rules than the James Bond classic—and we love to see it.', 'Hot on the heels of the\xa0espresso martini, which took over cocktail bars around the world circa 2022, a new drink du jour is making waves on social media: the Matcha Martini', 'Guessing who ""invented"" the first matcha martini is about like trying to pin down who created the concept of a\xa0casserole. Chances are high that they\'ve been served at cocktail bars around the world for years, but the idea really picked up steam on TikTok in early 2023.', 'The vivid green hue of a matcha martini is eye-catching and practically destined to go viral. Plus, the creamy consistency makes this drink feel like part cocktail, part dessert.', 'Matcha is the key ingredient that gives the emerald tint to this cocktail recipe. Translated from Japanese, matcha means ""powdered tea."" The leaves that are used to make matcha powder contain high levels of chlorophyll, hence the bright color.', 'Since everyone has a different style (and varying flavor preferences), there\'s no one standard or ""best"" matcha martini recipe. Scroll through #matchamartini on TikTok and you\'ll spy dozens of remixes, including everything from vodka to tequila and creamy latte-inspired drinks to fruity, juicy cocktails like our\xa0Tropical Matcha Cocktail recipe.', 'The basic formula includes matcha powder + a liquor (or try a spirit-free liquor alternative) + simple syrup + a creamy liqueur (such as white creme de cacao or almond, or orgeat for a\xa0N/A drink). Feel free to adjust amounts to meet your match(a).', 'Editorial contributions by Karla Walsh', 'Gather all ingredients.', 'In a cocktail shaker filled about 3/4 with ice, add prepared matcha, vodka, creme de cacao, and simple syrup.', 'Top with the lid, and shake for 1 to 2 minutes, or until frothy.', 'Strain into a cocktail glass and garnish with more matcha powder, if desired.']",https://www.allrecipes.com/matcha-martini-recipe-8659374
Peach and Blueberry Feta Salad,"This peach and blueberry feta salad is the BEST summer salad ever! Sweet fresh peaches, tart blueberries, and the creamy, savory flavor of the feta will have you coming back for more. The peach and basil vinaigrette dressing is the icing on the top.","['2 cups chopped Romaine lettuce', '3 fresh peaches\xa0- skin on, pitted, and cut into bite-sized pieces, divided', '1 English cucumber, cut into bite-sized pieces', '1 cup fresh blueberries', '1/2 cup crumbled feta cheese', '1/4 cup olive oil', '1/2 shallot', '1 tablespoon freshly squeezed lemon juice', '1 tablespoon finely chopped fresh basil', '1 tablespoon agave syrup or honey, or more to taste']","['Put chopped romaine, 2 peaches, cucumbers, and blueberries to a large bowl. Toss well, add feta on top, and set aside.', 'Add remaining peach, olive oil, shallot, lemon juice, basil, and agave to a food processor. Blend well, taste, and adjust if needed.', 'Drizzle dressing over salad and mix to combine.']",https://www.allrecipes.com/peach-and-blueberry-feta-salad-recipe-8674131
